distance_pair	len_sentence	pos_et1	pos_et2	num_ets_left	num_ets_inside	num_ets_right	presence_triggers_left	presence_triggers_inside	presence_triggers_right	num_triggers_left	num_triggers_inside	num_triggers_right	num_triggers_verbs_left	num_triggers_verbs_inside	num_triggers_verbs_right	num_triggers_nouns_left	num_triggers_nouns_insight	num_triggers_nouns_right	num_pos_triggers_left	num_pos_triggers_inside	num_pos_triggers_right	num_neg_triggers_left	num_neg_triggers_inside	num_neg_triggers_right	num_neg_left	num_neg_inside	num_neg_right	num_preps_left	num_preps_inside	num_preps_right	is_head_e1	is_head_e2	size_chunk_e1	size_chunk_e2	num_verbs_left	num_verbs_inside	num_verbs_right	num_nouns_left	num_nouns_inside	num_nouns_right	num_pos_triggers	num_neg_triggers	target	entity_pair	sentence
8	11	2	11	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	2	0	0	2	M-NEG	(parliament, rebels)	UK parliament wins veto over any decision to arm Syrian rebels	
4	9	3	8	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	2	0	1	0	1	1	1	0	1	V-NEG	(UK, Spanish)	Gibraltar: UK to protest actions of Spanish warship	
5	9	3	9	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	1	0	1	1	0	0	1	V-NEG	(UK, warship)	Gibraltar: UK to protest actions of Spanish warship	
3	10	1	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	2	0	0	0	1	0	1	3	0	1	NEU	(Egyptian, IS)	Egyptian militants loyal to IS claim deadly attack on soldiers	
7	10	2	10	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	2	0	0	1	V-NEG	(militants, soldiers)	Egyptian militants loyal to IS claim deadly attack on soldiers	
4	10	5	10	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	2	0	0	1	NEU	(IS, soldiers)	Egyptian militants loyal to IS claim deadly attack on soldiers	
7	10	1	9	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	2	0	3	0	0	1	1	1	0	M-POS	(US, Malaysia)	US sends second ship to help search for Malaysia plane	
8	10	1	10	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	3	0	0	2	0	1	0	M-POS	(US, plane)	US sends second ship to help search for Malaysia plane	
2	9	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	1	1	1	0	0	0	NEU	(Syrian, U.N.)	First chemicals have left Syrian port, U.N. says	
1	9	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	NEU	(port, U.N.)	First chemicals have left Syrian port, U.N. says	
7	10	1	9	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	3	2	0	2	0	0	3	1	0	1	M-NEG	(U.S., Cuba)	U.S. senator pledges to block efforts to normalize Cuba relations	
7	10	2	10	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	3	0	0	1	M-NEG	(senator, relations)	U.S. senator pledges to block efforts to normalize Cuba relations	
3	7	1	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	3	0	1	0	0	1	1	1	0	V-POS	(Obama, Australia)	Obama offers help to Australia post-hostage crisis	
5	7	1	7	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	2	0	1	0	V-POS	(Obama, crisis)	Obama offers help to Australia post-hostage crisis	
7	9	1	9	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0	1	0	0	3	0	1	0	M-POS	(Ukraine, Russia)	Ukraine says progress made on gas deal with Russia	
0	9	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	4	1	0	M-POS	(Ukraine, Russia)	Ukraine-Russia peace hopes rise as gas deal edges closer	
2	8	1	4	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	2	2	0	1	0	0	1	3	0	1	M-NEG	(SouthAmerican, U.S.)	South American nations reject U.S. measures against Venezuela officials	
3	8	1	5	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	2	2	0	1	M-NEG	(SouthAmerican, measures)	South American nations reject U.S. measures against Venezuela officials	
5	8	1	7	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	2	2	0	1	0	0	3	1	0	1	M-POS	(SouthAmerican, Venezuela)	South American nations reject U.S. measures against Venezuela officials	
6	8	1	8	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	4	0	0	1	M-POS	(SouthAmerican, officials)	South American nations reject U.S. measures against Venezuela officials	
2	9	3	6	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	2	0	1	V-NEG	(nations, measures)	South American nations reject U.S. measures against Venezuela officials	
5	9	3	9	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	3	0	0	1	M-POS	(nations, officials)	South American nations reject U.S. measures against Venezuela officials	
2	9	5	8	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	2	2	1	0	0	3	1	1	0	1	M-NEG	(U.S., Venezuela)	South American nations reject U.S. measures against Venezuela officials	
3	9	5	9	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	3	2	0	0	1	M-NEG	(U.S., officials)	South American nations reject U.S. measures against Venezuela officials	
2	9	6	9	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	1	0	0	1	M-NEG	(measures, officials)	South American nations reject U.S. measures against Venezuela officials	
7	10	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	0	3	0	0	1	1	0	0	M-POS	(Obama, Cuban)	Obama urges to forget the past to restore Cuban relations	
1	10	1	3	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	1	0	3	0	0	0	2	0	0	3	1	1	V-POS	(Japan, China)	Japan and China agree to reduce tensions over Senkaku islands	
1	9	1	3	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	1	0	0	3	1	0	V-POS	(China, Japan)	China, Japan agree crisis mechanism for disputed islands	
4	7	2	7	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	2	1	1	1	0	0	2	0	1	0	V-POS	(British, Israel)	Visiting British PM offers support to Israel	
3	7	3	7	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	V-POS	(PM, Israel)	Visiting British PM offers support to Israel	
2	9	1	4	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	M-POS	(Serbia, Putin)	Serbia to salute Putin but sees future with Europe	
7	9	1	9	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0	2	0	0	1	0	1	0	M-POS	(Serbia, Europe)	Serbia to salute Putin but sees future with Europe	
4	9	4	9	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	NEU	(Putin, Europe)	Serbia to salute Putin but sees future with Europe	
4	11	1	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	2	0	1	1	0	0	2	0	0	M-POS	(U.S., Syria)	U.S. willing to negotiate with Syria's Assad, Kerry says	
6	11	1	8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	1	0	1	1	0	0	M-POS	(U.S., Assad)	U.S. willing to negotiate with Syria's Assad, Kerry says	
0	7	6	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	2	0	1	0	1	NEU	(India, Pakistan)	Dozens killed in blast along India-Pakistan border	
5	10	1	7	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	1	0	0	1	2	0	1	NEU	(Turkey, Kurds)	Turkey struggles with spillover as Syrian Kurds battle Islamic State	
1	9	7	9	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	1	0	0	2	1	0	0	1	V-NEG	(Kurds, IslamicState)	Turkey struggles with spillover as Syrian Kurds battle Islamic State	
2	12	4	7	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	2	1	0	M-POS	(EU, Poland)	Special Report: EU funds help Poland build 'ghost' airports	
5	8	1	7	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	2	0	2	0	0	2	1	1	0	NEU	(UN, Syrian)	UN resumes food vouchers to help Syrian refugees	
6	8	1	8	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	2	0	1	0	M-POS	(UN, refugees)	UN resumes food vouchers to help Syrian refugees	
5	10	1	7	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	2	1	0	1	V-NEG	(Kiev, convoy)	Kiev, West slam Russian aid convoy to east Ukraine	
3	10	3	7	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	V-NEG	(West, convoy)	Kiev, West slam Russian aid convoy to east Ukraine	
6	10	3	10	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	1	NEU	(West, Ukraine)	Kiev, West slam Russian aid convoy to east Ukraine	
2	10	7	10	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	1	NEU	(convoy, Ukraine)	Kiev, West slam Russian aid convoy to east Ukraine	
6	15	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	1	1	1	0	0	NEU	(WhiteHouse, Turkey)	WorldViews: The White House would be a tiny wing of Turkey’s new presidential palace	
10	15	4	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	NEU	(WhiteHouse, palace)	WorldViews: The White House would be a tiny wing of Turkey’s new presidential palace	
8	10	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	1	0	0	3	0	0	0	NEU	(France, Philippines)	France's Hollande seeks climate 'alliance' with Philippines	
6	10	3	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	2	0	0	0	NEU	(Hollande, Philippines)	France's Hollande seeks climate 'alliance' with Philippines	
3	14	1	5	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	1	1	2	1	0	1	1	0	1	1	1	0	NEU	(France, Putin)	France's Hollande urges Putin to look ahead, not back, over Ukraine	
12	14	1	14	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	1	1	2	1	0	2	0	0	2	0	1	0	NEU	(France, Ukraine)	France's Hollande urges Putin to look ahead, not back, over Ukraine	
1	14	3	5	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	1	0	1	0	1	1	1	0	1	1	0	NEU	(Hollande, Putin)	France's Hollande urges Putin to look ahead, not back, over Ukraine	
10	14	3	14	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	1	0	1	0	2	0	1	1	0	1	0	NEU	(Hollande, Ukraine)	France's Hollande urges Putin to look ahead, not back, over Ukraine	
8	14	5	14	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	1	1	1	1	1	1	0	2	0	0	1	0	NEU	(Putin, Ukraine)	France's Hollande urges Putin to look ahead, not back, over Ukraine	
4	11	6	11	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	3	1	0	0	0	1	3	0	0	1	NEU	(Chinese, Myanmar)	1 dead in protest at Chinese-backed copper mine project in Myanmar	
1	11	9	11	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	3	0	0	0	1	NEU	(project, Myanmar)	1 dead in protest at Chinese-backed copper mine project in Myanmar	
11	13	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	2	0	0	0	NEU	(Iran, Vienna)	Iran says progress made in 'very difficult' nuclear talks in Vienna	
6	10	1	8	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	3	2	0	1	0	0	3	1	1	0	M-POS	(US, Poland)	US Senate report on CIA could help Poland's probe	
